2025-10-25 11:02:35,874 - --- New ROV Mission Started ---
2025-10-25 11:02:35,880 - --- Mission Stopped ---
2025-10-25 11:04:09,506 - --- New ROV Mission Started ---
2025-10-25 11:04:27,631 - --- New ROV Mission Started ---
2025-10-25 11:04:35,378 - ID: QR-1, Data: right
2025-10-25 11:04:43,139 - ID: QR-2, Data: right
2025-10-25 11:04:43,574 - ID: QR-3, Data: right
2025-10-25 11:04:43,823 - ID: QR-4, Data: right
2025-10-25 11:04:54,451 - ID: QR-5, Data: left
2025-10-25 11:04:54,452 - ID: QR-6, Data: right
2025-10-25 11:04:54,452 - ID: QR-7, Data: right
2025-10-25 11:04:54,452 - ID: QR-8, Data: right
2025-10-25 11:04:54,453 - ID: QR-9, Data: left
2025-10-25 11:04:55,887 - ID: QR-10, Data: left
2025-10-25 11:04:56,947 - ID: QR-11, Data: right
2025-10-25 11:04:56,947 - ID: QR-12, Data: right
2025-10-25 11:04:58,018 - ID: QR-13, Data: right
2025-10-25 11:04:59,623 - ID: QR-14, Data: right
2025-10-25 11:05:01,216 - ID: QR-15, Data: left
2025-10-25 11:05:06,580 - ID: QR-16, Data: right
2025-10-25 11:05:06,736 - ID: QR-17, Data: right
2025-10-25 11:05:06,941 - ID: QR-18, Data: left
2025-10-25 11:05:06,942 - ID: QR-19, Data: right
2025-10-25 11:05:07,171 - ID: QR-20, Data: left
2025-10-25 11:05:16,723 - ID: QR-21, Data: left
2025-10-25 11:05:17,145 - ID: QR-22, Data: right
2025-10-25 11:05:17,146 - ID: QR-23, Data: right
2025-10-25 11:05:17,146 - ID: QR-24, Data: right
2025-10-25 11:05:17,384 - ID: QR-25, Data: left
2025-10-25 11:05:24,678 - ID: QR-26, Data: right
2025-10-25 11:05:25,112 - ID: QR-27, Data: left
2025-10-25 11:05:25,113 - ID: QR-28, Data: left
2025-10-25 11:05:25,300 - ID: QR-29, Data: right
2025-10-25 11:05:25,996 - ID: QR-30, Data: right
2025-10-25 11:05:33,495 - ID: QR-31, Data: right
2025-10-25 11:05:51,389 - ID: QR-32, Data: right
2025-10-25 11:05:51,391 - ID: QR-33, Data: right
2025-10-25 11:12:24,852 - ID: QR-34, Data: right
2025-10-25 11:12:25,226 - ID: QR-35, Data: right
2025-10-25 11:12:25,515 - ID: QR-36, Data: right
2025-10-25 11:12:27,528 - ID: QR-37, Data: right
2025-10-25 11:12:27,528 - ID: QR-38, Data: right
2025-10-25 11:12:28,397 - ID: QR-39, Data: right
2025-10-25 11:12:28,714 - ID: QR-40, Data: left
2025-10-25 11:12:28,715 - ID: QR-41, Data: right
2025-10-25 11:12:28,715 - ID: QR-42, Data: right
2025-10-25 11:12:30,025 - ID: QR-43, Data: right
2025-10-25 11:12:30,276 - ID: QR-44, Data: right
2025-10-25 11:12:30,276 - ID: QR-45, Data: left
2025-10-25 11:25:30,594 - --- New ROV Mission Started ---
2025-10-25 11:25:47,136 - ID: QR-1, Data: right
2025-10-25 11:25:49,525 - ID: QR-2, Data: left
2025-10-25 11:25:49,526 - ID: QR-3, Data: right
2025-10-25 11:25:52,549 - ID: QR-4, Data: left
2025-10-25 11:25:52,550 - ID: QR-5, Data: right
2025-10-25 11:25:52,550 - ID: QR-6, Data: right
2025-10-25 11:25:52,906 - ID: QR-7, Data: left
2025-10-25 11:25:57,692 - ID: QR-8, Data: right
2025-10-25 11:25:58,506 - ID: QR-9, Data: left
2025-10-25 11:25:58,850 - ID: QR-10, Data: left
2025-10-25 11:25:58,851 - ID: QR-11, Data: right
2025-10-25 11:25:58,851 - ID: QR-12, Data: right
2025-10-25 11:25:58,851 - ID: QR-13, Data: right
2025-10-25 11:26:07,313 - ID: QR-14, Data: right
2025-10-25 11:26:07,315 - ID: QR-15, Data: right
2025-10-25 11:26:07,684 - ID: QR-16, Data: left
2025-10-25 11:26:21,626 - ID: QR-17, Data: right
2025-10-25 11:26:21,626 - ID: QR-18, Data: right
2025-10-25 11:27:02,843 - --- New ROV Mission Started ---
2025-10-25 11:27:22,485 - ID: QR-1, Data: right
2025-10-25 11:27:23,140 - ID: QR-2, Data: right
2025-10-25 11:27:23,142 - ID: QR-3, Data: right
2025-10-25 11:27:23,615 - ID: QR-4, Data: left
2025-10-25 11:27:26,024 - ID: QR-5, Data: left
2025-10-25 11:27:26,341 - ID: QR-6, Data: left
2025-10-25 11:27:26,342 - ID: QR-7, Data: right
2025-10-25 11:27:26,343 - ID: QR-8, Data: right
2025-10-25 11:27:26,906 - ID: QR-9, Data: left
2025-10-25 11:27:27,202 - ID: QR-10, Data: left
